place,beer,usr,date,rating,style,s_name
12272,36547,736877,2013-06-12,3.75,101,Postman's Knock No. 3
12272,36547,163714,2011-07-11,4.25,101,Postman's Knock No. 3
12272,36547,492136,2011-03-21,3.23,101,Postman's Knock No. 3
12272,36547,1619,2008-06-12,3.43,101,Postman's Knock No. 3
12272,36547,16869,2008-02-12,3.68,101,Postman's Knock No. 3
148,30208,273305,2009-01-05,3.8,37,Belhaven Scottish Lager
148,30208,14050,2006-05-31,2.9,37,Belhaven Scottish Lager
148,30208,1845,2006-04-30,2.53,37,Belhaven Scottish Lager
148,30208,22,2017-09-08,3.47,37,Belhaven Scottish Lager
148,30208,1015020,2016-05-24,3.18,37,Belhaven Scottish Lager
148,30208,938538,2015-02-03,4.54,37,Belhaven Scottish Lager
148,30208,740523,2014-12-09,3.2,37,Belhaven Scottish Lager
148,30208,706127,2014-09-01,3.5,37,Belhaven Scottish Lager
148,30208,322390,2014-08-16,3.5,37,Belhaven Scottish Lager
148,30208,814316,2014-07-24,3.0,37,Belhaven Scottish Lager
148,30208,345778,2014-06-28,3.34,37,Belhaven Scottish Lager
148,30208,47795,2013-12-05,3.5,37,Belhaven Scottish Lager
148,30208,767367,2013-12-02,3.0,37,Belhaven Scottish Lager
148,30208,95017,2013-10-28,3.28,37,Belhaven Scottish Lager
148,30208,752626,2013-09-06,4.5,37,Belhaven Scottish Lager
148,30208,730089,2013-08-29,3.0,37,Belhaven Scottish Lager
148,30208,366955,2013-07-15,3.25,37,Belhaven Scottish Lager
148,30208,489156,2013-06-18,2.5,37,Belhaven Scottish Lager
148,30208,663734,2013-05-11,4.0,37,Belhaven Scottish Lager
148,30208,657810,2013-03-22,3.0,37,Belhaven Scottish Lager
148,30208,676939,2013-01-03,3.25,37,Belhaven Scottish Lager
148,30208,639421,2012-07-08,3.25,37,Belhaven Scottish Lager
148,30208,670094,2012-03-29,3.5,37,Belhaven Scottish Lager
148,30208,175008,2011-11-15,3.0,37,Belhaven Scottish Lager
148,30208,156510,2010-08-05,3.1,37,Belhaven Scottish Lager
148,30208,14442,2009-12-30,3.25,37,Belhaven Scottish Lager
148,30208,13103,2009-11-23,3.5,37,Belhaven Scottish Lager
148,30208,159910,2009-09-02,3.0,37,Belhaven Scottish Lager
2930,67516,492136,2011-06-01,2.11,37,Cains Finest Export Lager
2930,67516,524986,2011-05-03,1.12,37,Cains Finest Export Lager
2930,67516,16869,2011-03-25,3.38,37,Cains Finest Export Lager
2930,67516,760425,2015-03-24,3.5,37,Cains Finest Export Lager
2930,67516,52897,2014-05-30,2.5,37,Cains Finest Export Lager
2930,67516,664801,2014-04-18,2.0,37,Cains Finest Export Lager
2930,67516,621888,2013-11-01,3.46,37,Cains Finest Export Lager
2930,67516,746501,2013-09-26,3.5,37,Cains Finest Export Lager
2930,67516,322390,2013-09-08,3.06,37,Cains Finest Export Lager
2930,67516,142948,2013-08-26,2.5,37,Cains Finest Export Lager
2930,67516,37950,2013-06-14,2.91,37,Cains Finest Export Lager
2930,67516,300408,2013-05-31,3.01,37,Cains Finest Export Lager
2930,67516,670260,2013-05-03,4.39,37,Cains Finest Export Lager
2930,67516,654709,2013-04-13,4.0,37,Cains Finest Export Lager
2930,67516,176419,2013-01-03,3.25,37,Cains Finest Export Lager
2930,67516,480047,2012-12-13,3.25,37,Cains Finest Export Lager
2930,67516,83469,2012-12-07,2.37,37,Cains Finest Export Lager
2930,67516,678656,2012-08-14,2.75,37,Cains Finest Export Lager
2930,67516,5708,2012-08-05,2.98,37,Cains Finest Export Lager
2930,67516,332060,2012-07-03,3.53,37,Cains Finest Export Lager
2930,67516,681325,2012-06-17,3.72,37,Cains Finest Export Lager
2930,67516,149468,2012-06-11,3.43,37,Cains Finest Export Lager
2930,67516,346695,2012-05-09,3.88,37,Cains Finest Export Lager
2930,67516,662549,2012-03-02,1.6,37,Cains Finest Export Lager
